,Unnamed: 0,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,No_of_bedrooms,latitude,longitude,pet,laundry,parking,floor,Apartment_type,smoking
2207,2207,Gorgeous 1 Bd/1 Ba Apartment in Center City,1550,700.0,https://philadelphia.craigslist.org/apa/d/philadelphia-gorgeous-bd-ba-apartment/7278490404.html,1.0, (Midtown Village),2021-02-16 19:24, 1Ba,1BR ,39.947615,-75.162556,both pets,on site,no,wood,multi,nan
2208,2208,Stop Wasting Your Time! Get Parking Here - GARGE & OUTDOOR,1815,750.0,https://philadelphia.craigslist.org/apa/d/philadelphia-stop-wasting-your-time-get/7278481585.html,1.0, (W. Mt. Airy),2021-02-16 19:22, 1Ba,1BR ,40.029227,-75.188362,both pets,in unit,off-street,nan,multi,nan
2209,2209,Immediate Move-in! Showcasing waterfront and city views,2295,1201.0,https://philadelphia.craigslist.org/apa/d/philadelphia-immediate-move-in/7274291337.html,2.0, (SOCIETY HILL),2021-02-16 19:17, 1Ba,2BR ,39.945084,-75.145118,no pet,no laundry,proctected,wood,multi,nan
2210,2210,"Wireless & High Speed Internet Access, Disability Access, Picnic Area",1914,1124.0,https://philadelphia.craigslist.org/apa/d/west-chester-wireless-high-speed/7278462694.html,2.0," (1000 Skiles Boulevard, West Chester, PA, US)",2021-02-16 19:17, 2Ba,2BR ,39.929855,-75.582336,both pets,in unit,off-street,nan,multi,no smoking
2211,2211,"2 bed- Exterior storage, Wood burning fireplaces, Resort-style pool",2000,1048.0,https://philadelphia.craigslist.org/apa/d/southeastern-bed-exterior-storage-wood/7276394923.html,2.0, (West Chester),2021-02-16 19:17, 2Ba,2BR ,39.96796,-75.531002,cats,in unit,no,nan,multi,no smoking
2212,2212,"Sunny 1 BR, Riverwest, All Utl. incl.",1400,538.0,https://philadelphia.craigslist.org/apa/d/philadelphia-sunny-br-riverwest-all-utl/7268335403.html,1.0, (Center City),2021-02-16 19:14, 1Ba,1BR ,39.952291,-75.175407,both pets,on site,no,nan,multi,nan
2213,2213,"SUN SPLASHED and EAST facing fantastic 1 bedroom, 1 bath apartment",1575,700.0,https://philadelphia.craigslist.org/apa/d/philadelphia-sun-splashed-and-east/7274221607.html,1.0, (RITTENHOUSE SQUARE),2021-02-16 19:13, 1Ba,1BR ,39.953632,-75.173683,both pets,no laundry,off-street,wood,multi,nan
2214,2214,The Get Fit Effect At PostFit,1133,370.0,https://philadelphia.craigslist.org/apa/d/philadelphia-the-get-fit-effect-at/7278480942.html,, (633 W. Rittenhouse Street),2021-02-16 19:13, 1Ba,0BR ,40.029227,-75.188362,both pets,in unit,off-street,nan,multi,nan
2215,2215,FREE MONTH RENT!! Luxury New Construction 2br/1ba next to UPENN!!,1558,1000.0,https://philadelphia.craigslist.org/apa/d/philadelphia-free-month-rent-luxury-new/7278486142.html,2.0, (UPENN/ University City),2021-02-16 19:13, 1Ba,2BR ,39.956648,-75.204307,both pets,in unit,no,wood,multi,nan
2216,2216,Amazing Two Bedroom!  Available Now!,1704,1054.0,https://philadelphia.craigslist.org/apa/d/chalfont-amazing-two-bedroom-available/7278458063.html,2.0," (131 N Main St Chalfont, PA)",2021-02-16 19:13, 2Ba,2BR ,40.299094,-75.218695,both pets,in unit,no,nan,multi,nan
2217,2217,Hot & Tired!? Come Relax Poolside…,1300,400.0,https://philadelphia.craigslist.org/apa/d/philadelphia-hot-tired-come-relax/7278481502.html,, (633 W. Rittenhouse Street),2021-02-16 19:13, 1Ba,0BR ,40.029227,-75.188362,both pets,in unit,off-street,nan,multi,nan
2218,2218,Look no Further!!! One bedroom one bath Apartment,1500,2196.0,https://philadelphia.craigslist.org/apa/d/philadelphia-look-no-further-one/7274216543.html,1.0, (RITTENHOUSE SQUARE),2021-02-16 19:10, 1Ba,1BR ,39.944773,-75.166155,both pets,no laundry,no,wood,multi,nan
2219,2219,Chancery Lane offers loft-style apartment homes with elevator,1465,700.0,https://philadelphia.craigslist.org/apa/d/philadelphia-chancery-lane-offers-loft/7274213288.html,1.0, (OLD CITY),2021-02-16 19:04, 1Ba,1BR ,39.951852,-75.142651,no pet,in unit,no,wood,multi,nan
2220,2220,Own A Pet? We Welcome Them! World-Class Pet Friendly Amenities,2265,725.0,https://philadelphia.craigslist.org/apa/d/philadelphia-own-pet-we-welcome-them/7278481388.html,1.0, (W. Mt. Airy),2021-02-16 19:01, 1Ba,1BR ,40.029227,-75.188362,both pets,in unit,off-street,nan,multi,nan
2221,2221,ATTN: ALLERGY SEASON! I’m Allergic To Dumpy Apartments,1910,950.0,https://philadelphia.craigslist.org/apa/d/philadelphia-attn-allergy-season-im/7278480678.html,2.0, (633 W. Rittenhouse Street),2021-02-16 19:00, 2Ba,2BR ,40.029227,-75.188362,both pets,in unit,off-street,nan,multi,nan
2222,2222,1 Bedroom luxury on the river $1562.00,1582,791.0,https://philadelphia.craigslist.org/apa/d/norristown-bedroom-luxury-on-the-river/7269766513.html,1.0," (Valley Forge, King Of Prussia)",2021-02-16 18:52, 1Ba,1BR ,40.1496,-75.3796,both pets,on site,off-street,nan,multi,nan
2223,2223,Pet Friendly TWO bedroom in Perkasie!,2295,1660.0,https://philadelphia.craigslist.org/apa/d/blooming-glen-pet-friendly-two-bedroom/7271038543.html,2.0," (One Applewood Drive, Perkasie, PA)",2021-02-16 18:51, 2.5Ba,2BR ,40.3765,-75.2648,no pet,in unit,off-street,nan,multi,nan
2224,2224,Spacious Bi level unit Fabulous Olde City location,1400,1000.0,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-bi-level-unit/7274211741.html,1.0, (OLDE CITY),2021-02-16 18:49, 1Ba,1BR ,39.956295,-75.140015,both pets,in unit,no,wood,multi,nan
2225,2225,Coming this summer! Irresistible 3 bed 1.5 bath apt in Northern Libs!,1900,,https://philadelphia.craigslist.org/apa/d/philadelphia-coming-this-summer/7278474957.html,3.0, (419 Fairmount Avenue > Northern Liberties),2021-02-16 18:46, 1.5Ba,3BR ,39.962704,-75.144625,both pets,in unit,no,wood,multi,no smoking
