,post_title_texts,post_prices,sqfts,post_links,bedroom_counts,post_hoods,post_timing,No_of_bathrooms,latitude,longitude,pet,laundry,parking,Apartment_type
1310,Sun Lit Open SOHO Floor Thru 3 Bed Loft Oasis_Prime Location - A Find!,3995.0,1103.2173913043478,https://newyork.craigslist.org/mnh/apa/d/new-york-sun-lit-open-soho-floor-thru/7278213073.html,3.0, (SoHo),2021-02-16 10:50,1.0,40.722301,-73.997123,no pet,no laundry,no,multi
1312,luxury 3 bad 1 bath right near the park!! gym!roof,2299.0,1103.2173913043478,https://newyork.craigslist.org/brk/apa/d/brooklyn-luxury-bad-bath-right-near-the/7278211881.html,3.0, (crown heights),2021-02-16 10:47,1.0,40.6628,-73.9546,both pets,on site,proctected,multi
1313,Two bedroom apartment for rent $1900 monthly,1900.0,837.5,https://newyork.craigslist.org/wch/apa/d/hastings-on-hudson-two-bedroom/7278210779.html,2.0, (Yonkers ny),2021-02-16 10:45,1.0,40.979608,-73.866828,no pet,no laundry,no,single
1314,"$2850 / Gorgeous 2 bed/2 bath, Utilities included + parking/patio",2850.0,922.3730569948186,https://newyork.craigslist.org/wch/apa/d/port-chester-2850-gorgeous-bed-bath/7278210373.html,2.0, (Port Chester/border Rye Brook),2021-02-16 10:44,2.0,41.0222,-73.6798,both pets,in unit,protected,multi
1315,Beautiful Luxury 2 Bedroom apartment In Upper East Side!!,5500.0,922.3730569948186,https://newyork.craigslist.org/mnh/apa/d/new-york-beautiful-luxury-bedroom/7278209901.html,2.0, (Upper East Side),2021-02-16 10:43,2.0,40.7685,-73.9588,no pet,on site,valet,multi
1316,"Conveniently Cozy (2 Bed) Kew Garden Hills, By Union Tpk, E/F Trains ⭐️",2099.0,922.3730569948186,https://newyork.craigslist.org/que/apa/d/jamaica-conveniently-cozy-bed-kew/7278209873.html,2.0, (Kew Garden Hills/ Briarwood / Forest Hills / Rego Park),2021-02-16 10:43,1.0,40.717675,-73.817123,cats,on site,off-street,multi
1320,Luxury Doorman * Large Studio * Pet Friendly * No Fee,1900.0,500.0,https://newyork.craigslist.org/mnh/apa/d/new-york-luxury-doorman-large-studio/7278207917.html,0.0, (Midtown West),2021-02-16 10:39,1.0,40.7651,-73.9858,both pets,in unit,proctected,multi
1321,No Broker Fee*Columbus Circle! Newly Renovated!,2250.0,717.6746411483253,https://newyork.craigslist.org/mnh/apa/d/new-york-no-broker-feecolumbus-circle/7278207591.html,1.0, (Midtown West),2021-02-16 10:39,1.0,40.7651,-73.9858,no pet,on site,no,multi
1322,Sec 8 - 1 bedroom apartment Available!!,1827.0,717.6746411483253,https://newyork.craigslist.org/mnh/apa/d/bronx-sec-bedroom-apartment-available/7278207519.html,1.0, (Bronx),2021-02-16 10:38,1.0,40.8295,-73.8716,no pet,no laundry,no,multi
1323,Williamsburg 2 bedroom available,2842.0,922.3730569948186,https://newyork.craigslist.org/brk/apa/d/brooklyn-williamsburg-bedroom-available/7278206408.html,2.0, (Brooklyn),2021-02-16 10:36,1.0,40.712166,-73.959064,both pets,no laundry,no,multi
